順位,チーム撃破数,プレイヤー1,プレイヤー1撃破数,プレイヤー2,プレイヤー2撃破数,プレイヤー3,プレイヤー3撃破数,プレイヤー4,プレイヤー4撃破数
1,6,rostoǃ,2,たろう修行中,1,Gzみーちゃん幸運,3
2,6,EDGEぴぐれ,2,アレックスゴンザレスサッカー,3,himafishy 74,1
3,6,2AM POCHIKUN,3,NEOSjrリザード検索するべし,1,MOZE とわ 桜,2
4,9,QOK HIYOOOOOOOOO,1,RVG-R SevenStar,5,DIVA Acornski,3
5,7,RAC_ゆめだにょーん,1,ぴずっぱーの名前はpizuなのだ,0,FPG 圧倒的弱者,6
6,6,ECS 道を開けろ,3,ECG伝説の賭博師おじじ666,1,ECS_YaKu-_-,2
7,5,勝ちと言う字を知るためにmilk,0,OBI るるまる 723.,4,DELTA U HAYATO,1
8,6,AJS stain x,3,xRB こう修行中,1,AJS Jaaxgot 魅,2
9,3,かめてぃん.魔女,2,サイバーたか,0,OBI ϟ ごきぃやでǃǃ ϟ,1
10,0,FA主張強いのは顔だけしすこだぞ,0,AXIS しゃいにー,0,Allen3xxx,0
11,5,Celis 千束,2,山田リョウ .,1,YouTubeゆずしで検索,2
12,2,Natureたちばなあんり,0,Nature RaZer0zR,2,ポポちゃん大好きテルハルル,0
13,3,おわ修行中 橘,2,てるるんYouTube,0,mana修行中,1
14,2,ラスカル好きのたけるくん,0,CHJ.ちんさむ侍 姫,0,ponpipipi777ponp,2
15,1,XER えめらるど,0,roomy_freesia39,0,XER Swiilol 7,1
16,2,俺に負けるとか恥だぞǃ ت,0,超wavyなKENTAch,1,fresh_lunch7,1
17,1,yucyowrld7 v_v,0,ECGアメch,0,FA 餃子 修行中,1
18,3,LYNX vitaminsuu,3,SunSet 限界高校生,0
19,1,FA_KEBABU,0,刮目せよǃまるきゅーchだǃ,0,UW なぎだよ,1
20,0,ECG おにεïз,0,ECS Mirico ʚɞ q,0,ECS Toufu ʚɞ q,0
21,0,とまとっちYouTube,0,йazerぼぉぶ ࡊ ࡋ ࡌ,0,Stella Yuika,0
22,0,wrinkled-joy1,0,res_clxxer_1,0,DEBU_DADDY_DIRTY,0
23,0,哺桃サピエンス,0,H4l2,0,ゆぅいむTikTok,0
24,0,スランプ中のごうくんﾄﾞﾝﾄﾞﾝ,0,NSK_四天王のなっちゃんYT,0,SWITCH創世の歴戦王ロア星街,0
25,1,かわちぃみれすǃǃ,0,かわちいはるちい,0,kwz kylefishy x7,1
26,0,FA UBU 対面強化中,0,ℒℒharuku49714,0,FA さくらんぼ,0
27,0,うぱりんーうぱぺんファミリー.,0,yukibaku35,0,こぺん-うぱぺんファミリー,0
